artistID,artistName,birthplace,period,artType
65146143,Anonymous,c. 1310,1300 to 1400,
64360427,"Baldung, Hans",1333,1300 to 1400,
92614071,National Gallery of Art,shortly before 1387,1300 to 1400,
51877225,Anonymous Artist,shortly before 1387,1300 to 1400,
85781138,"Evans, Thomas M., Mrs.",shortly before 1387,1300 to 1400,
81757442,"Haupt, Enid Annenberg",c. 1430,1401 to 1500,
93931766,"Altschul, Arthur G., Mr.",1354,1300 to 1400,
79322849,"Gaines, John R., Mr. and Mrs.",1354,1300 to 1400,
30385288,"Kellen, Stephen M., Mr. and Mrs.",1354,1300 to 1400,
18466313,"Mayer, Frederick R., Mr. and Mrs.",c. 1423/1424,1401 to 1500,
94044865,"Wood Prince, William, Mr. and Mrs.",1308-1311,1300 to 1400,
89528060,"Abbott, Lemuel Francis",c. 1460/1465,1401 to 1500,
27025514,"Holladay, Wallace F., Mr. and Mrs.",c. 1470/1475,1401 to 1500,
58584367,"Pippin, Horace",1325/1330,1300 to 1400,
98528324,"Aelst, Willem van",c. 1490/1495,1401 to 1500,
36401135,"Annenberg, Walter H., The Honorable and Mrs.",c. 1450,1401 to 1500,
19996337,"Cafritz Foundation, Morris and Gwendolyn, The",1430/1450,1401 to 1500,
38355223,"de Ménil, Lois and Georges, Doctors",1430s,1401 to 1500,
91782615,"Hanes, Gordon, Mr. and Mrs.",c. 1423/1424,1300 to 1400,
23648241,"Heda, Willem Claesz",c. 1450,1401 to 1500,
62221597,"Stevenson, Ruth Carter, Mrs.",c. 1475/1480,1401 to 1500,
95300827,"Kogod, Robert and Arlene",c. 1482/1485,1401 to 1500,
20556884,"Kress Foundation, Samuel H.",c. 1485,1401 to 1500,
24536401,"Smith, Robert H., Mr. and Mrs.",c. 1470,1401 to 1500,
48628302,"Stevenson, John R., The Honorable",c. 1478/1482,1401 to 1500,
80998732,"Wallace, DeWitt, Mrs.",c. 1410,1401 to 1500,
27309161,"Whitehead, John C., The Honorable",c. 1510,1501 to 1550,
87208362,"Whitney, John Hay",1508,1501 to 1550,
57738445,"Woodner, Ian",c. 1506,1501 to 1550,
17753112,"Epstein, Sarah G., Mrs.",c. 1482/1485,1401 to 1500,
87117214,"Harriman, W. Averell Mrs.",c. 1482/1485,1401 to 1500,
70934429,"Albright, Ivan",c. 1482/1485,1401 to 1500,
