categoryID,categoryName,period,artType
167100707,Sculpture,1401 to 1500,Statue
518306214,Sculpture,1401 to 1500,Bust
860265459,Sculpture,1851 to 1875,Relief
1053739494,Sculpture,1401 to 1500,Relief
1469333834,Sculpture,1801 to 1825,Relief
2079318363,Sculpture,1401 to 1500,Statuette
1462856813,Sculpture,1401 to 1500,Antiquities
448139939,Sculpture,1851 to 1875,Bust
2123718968,Sculpture,1776 to 1800,Statue
697687369,Sculpture,1551 to 1600,Statue
962290836,Sculpture,1601 to 1650,Relief
197794692,Sculpture,1501 to 1550,Relief
622587800,Sculpture,1651 to 1700,Statue
1944058975,Sculpture,1851 to 1875,Utilitarian Object
104949228,Sculpture,1926 to 1950,Relief
1236477397,Sculpture,1876 to 1900,Statuette
482281057,Sculpture,1876 to 1900,Figure Fragment
1015305505,Sculpture,1901 to 1925,Bust
828865851,Sculpture,1851 to 1875,Statue
1016981293,Sculpture,1876 to 1900,Statue
263115646,Sculpture,1876 to 1900,Small Bronze
1546405427,Sculpture,1876 to 1900,Bust
1369641115,Sculpture,1901 to 1925,Statuette
1766966971,Sculpture,1901 to 1925,Figure Fragment
1632649246,Sculpture,1876 to 1900,Relief
1910436647,Sculpture,1826 to 1850,Relief
1079596169,Sculpture,1926 to 1950,Bust
655199664,Sculpture,1651 to 1700,Small Bronze
1942869001,Sculpture,1501 to 1550,Small Bronze
1122602447,Sculpture,1401 to 1500,Small Bronze
334264809,Sculpture,1551 to 1600,Small Bronze
542745301,Sculpture,1776 to 1800,Relief
1196025069,Sculpture,1551 to 1600,Relief
186504931,Sculpture,1601 to 1650,Bust
1796798072,Sculpture,1701 to 1725,Statuette
970054183,Sculpture,1726 to 1750,Small Bronze
2008564111,Sculpture,1776 to 1800,Bust
1323016696,Sculpture,1726 to 1750,Bust
692951805,Sculpture,1651 to 1700,Bust
1798235883,Sculpture,1551 to 1600,Utilitarian Object
563825969,Sculpture,1701 to 1725,Statue
1746858623,Sculpture,1501 to 1550,Utilitarian Object
767968458,Sculpture,1501 to 1550,Bust
1319564991,Sculpture,1601 to 1650,Statuette
764748475,Sculpture,1401 to 1500,Plaquette
1720301292,Sculpture,1776 to 1800,Utilitarian Object
740781835,Sculpture,1401 to 1500,Utilitarian Object
923005045,Sculpture,1401 to 1500,Medal/Medallion
1058010286,Sculpture,1551 to 1600,Medal/Medallion
526660296,Sculpture,1501 to 1550,Medal/Medallion
962003503,Sculpture,1501 to 1550,Plaquette
1229121113,Sculpture,1551 to 1600,Plaquette
1402932988,Sculpture,1300 to 1400,Plaquette
2003482473,Sculpture,1401 to 1500,Applique
1582881483,Sculpture,1300 to 1400,Applique
167734442,Sculpture,1601 to 1650,Applique
168208433,Sculpture,1551 to 1600,Applique
1905810641,Decorative Art,1826 to 1850,Utilitarian Object
2133654158,Decorative Art,before 1300,Liturgical Object
419713999,Decorative Art,before 1300,Reliquary Object
1838549153,Decorative Art,1300 to 1400,Liturgical Object
213119454,Decorative Art,before 1300,Statuette
944876192,Decorative Art,1776 to 1800,Liturgical Object
581310584,Decorative Art,1401 to 1500,Liturgical Object
2017675285,Decorative Art,1300 to 1400,Jewelry
608808554,Decorative Art,1401 to 1500,Enamel
1200796491,Decorative Art,1501 to 1550,Enamel
183313422,Decorative Art,1551 to 1600,Enamel
1550086843,Decorative Art,1551 to 1600,Rock Crystal
1275401145,Decorative Art,1501 to 1550,Rock Crystal
325455165,Decorative Art,1601 to 1650,Rock Crystal
309278793,Decorative Art,1826 to 1850,Rock Crystal
428404300,Decorative Art,1851 to 1875,Rock Crystal
1959393368,Decorative Art,1851 to 1875,Jewelry
1563958632,Decorative Art,1876 to 1900,Jewelry
1448653439,Decorative Art,1401 to 1500,Stained Glass
581603632,Decorative Art,1501 to 1550,Ceramic
2013540585,Decorative Art,1401 to 1500,Ceramic
120928446,Decorative Art,1551 to 1600,Ceramic
1955902412,Decorative Art,1401 to 1500,Armor
843940589,Decorative Art,1501 to 1550,Armor
1480284002,Decorative Art,1501 to 1550,Furniture
867794134,Decorative Art,1401 to 1500,Furniture
273887684,Decorative Art,1300 to 1400,Furniture
1325811634,Decorative Art,1776 to 1800,Furniture
294075998,Decorative Art,1726 to 1750,Furniture
449281899,Decorative Art,1751 to 1775,Furniture
480789982,Decorative Art,1701 to 1725,Furniture
1597022470,Decorative Art,1826 to 1850,Furniture
493588431,Decorative Art,1701 to 1725,Ceramic
1935557266,Decorative Art,1401 to 1500,Textile
1626885475,Decorative Art,1501 to 1550,Textile
713534116,Decorative Art,1551 to 1600,Textile
1567907041,Decorative Art,1751 to 1775,Textile
235972426,Decorative Art,1776 to 1800,Textile
198323071,Decorative Art,1651 to 1700,Textile
1741466102,Decorative Art,1300 to 1400,Textile
1477162636,Decorative Art,1601 to 1650,Textile
