artworkID,exhibitionID
119,273
120,235
121,290
122,276
123,210
124,225
125,207
126,68
127,311
128,275
129,489
130,449
131,497
132,270
133,292
134,143
135,142
136,351
137,173
138,311
139,71
140,86
461,323
462,162
463,369
468,322
469,306
470,336
471,290
475,393
478,481
574,477
575,289
577,385
578,152
988,91
996,43
997,342
998,202
999,187
1000,221
1001,80
1002,79
1003,229
1004,483
1005,209
1006,490
1007,88
1008,463
1009,483
1010,500
1011,204
1012,340
1013,369
1014,497
1015,488
1016,395
1017,86
1018,266
1019,377
1020,277
1021,346
1022,298
1023,241
1024,150
1137,109
1241,393
1242,60
1243,375
1244,124
1245,348
1246,44
1247,445
1248,276
1249,11
1250,211
1251,166
1252,199
1253,300
1254,260
1256,87
1257,149
1258,284
1259,410
1260,409
1261,65
1262,83
1263,347
1264,121
1265,352
1266,162
1267,272
1268,496
1269,153
1270,77
1271,281
1272,388
1273,40
1274,190
1275,487
1276,425
1277,436
1278,490
1279,343
1280,118
1281,360
1282,136
1283,404
1284,171
1285,370
1287,9
1288,420
1289,291
1290,272
1291,226
1292,123
1293,14
1294,78
1295,162
1298,170
1299,48
1300,274
1301,71
1302,412
1303,278
1304,436
1305,187
1306,22
1307,478
1308,393
1309,91
1310,117
1311,58
1312,410
1313,173
1314,252
1315,35
1316,498
1317,27
1318,155
1319,419
1320,465
1321,349
1322,325
1323,236
1324,483
1325,304
1326,447
1327,456
1328,54
1329,258
1330,269
1331,68
1332,293
1333,375
1335,280
1336,56
1343,445
1344,303
1345,147
1346,257
1348,342
1349,16
1350,45
1351,215
1352,310
1353,70
1354,96
1357,198
1358,465
1359,479
1360,348
1361,380
1362,179
1363,76
1364,336
1365,332
1366,41
1367,63
1368,477
1369,487
1370,281
1371,130
1373,219
1374,89
1375,45
1376,454
1377,129
1378,265
1379,30
1380,272
1381,208
1382,208
1383,54
1384,369
1385,45
1386,457
1387,284
1388,205
1389,84
1390,117
1391,32
1392,492
1393,392
1394,123
1395,343
1397,430
1398,197
1399,45
1400,131
1401,348
1402,367
1403,232
1404,445
1405,428
1406,233
1407,186
1408,42
1409,292
1410,194
1411,21
1412,416
1413,481
1414,454
1415,381
1416,266
1417,414
1418,495
1419,389
1420,19
1421,460
1423,126
1424,20
1425,133
1426,384
1432,154
1433,15
1435,261
1436,128
1437,124
1438,388
1439,119
1440,462
1441,441
1442,120
1443,48
1444,372
1445,336
1446,286
1447,274
1448,17
1449,489
1450,296
1451,335
1452,111
1453,110
1454,155
1455,158
1456,270
1457,216
1458,493
1459,219
1460,91
1461,32
1462,290
1463,207
1464,156
1466,295
1467,86
1468,360
1469,202
1470,269
1471,102
1472,250
1473,217
1474,125
1475,415
1476,26
1477,200
1478,380
1479,101
1480,325
1481,229
1482,257
1483,78
1484,492
1485,354
1486,68
1487,186
1488,172
1489,411
1490,342
1491,318
1492,496
1493,115
1494,160
1495,184
1496,61
1497,239
1498,494
1499,185
1500,133
1501,349
1502,204
1503,459
1504,387
1505,231
1506,44
1507,485
1508,433
1509,111
1510,350
1511,39
1512,324
1513,372
1514,97
1515,84
1516,484
1517,418
1518,463
1519,87
1520,47
1521,154
1522,292
1523,63
1524,157
1525,479
1526,113
1527,132
1528,163
1529,402
1530,460
1531,371
1532,170
1533,345
1534,47
1535,368
1536,410
1537,90
1538,147
1539,418
1540,19
1541,26
1542,348
1543,70
1544,491
1545,496
1546,40
1547,447
1548,430
1549,386
1550,210
1551,397
1552,240
1553,292
1554,284
1555,162
1556,416
1557,352
1558,289
1559,87
1560,417
1561,241
1562,93
1563,360
1564,256
1565,350
1566,406
1567,356
1568,73
1569,489
1570,429
1571,345
1572,325
1573,409
1574,418
1575,33
1576,457
1577,300
1578,235
1579,196
1580,22
1581,39
1582,317
1583,251
1584,471
1585,486
1599,374
1600,28
1601,337
1602,143
1603,495
1604,200
1605,286
1606,35
1607,117
1608,360
1609,234
1610,147
1611,382
1612,235
1613,182
1614,364
1615,115
1616,200
1649,439
1650,55
1651,442
1652,174
1653,180
1654,146
1655,74
1656,335
1657,277
1658,190
1659,416
1660,406
1661,440
1662,487
1663,344
1664,397
1665,60
1666,155
1667,351
1668,368
1669,57
1670,24
1671,303
1672,387
1673,206
1674,226
1675,470
1676,446
1677,146
1678,324
1679,287
1680,449
1681,451
1682,468
1683,494
1684,142
1685,27
1686,271
1687,87
1688,309
1689,293
1690,440
1691,297
1692,358
1693,366
1694,381
1695,53
1696,237
1697,311
1698,469
1699,36
1700,449
1701,328
1702,198
1703,381
1704,72
1705,230
1706,398
1707,215
1708,101
1709,140
1710,174
1711,81
1712,494
1713,14
1714,154
1715,425
1716,208
1717,360
1718,41
1719,245
1720,143
1721,314
1722,121
1723,56
1724,450
1725,344
